Scenario_ID,Escenario,CAPACIDAD_BODEGA,STOCK_INICIAL,PUNTO_REORDEN,CANTIDAD_REABASTECIMIENTO,TIEMPO_ENTRE_LLEGADAS,TAMANO_PEDIDO,LEAD_TIME_PROVEEDOR,TIEMPO_SIMULACION,STOCK_INICIAL_RATIO,PUNTO_REORDEN_RATIO,CANTIDAD_REABASTECIMIENTO_RATIO,Demanda_Diaria_Esperada,Cobertura_Inicial_Dias,Cobertura_ROP_Dias,Cobertura_Q_Dias,Brecha_LeadTime_Dias,Categoria_Riesgo,Replicas,Nivel_Servicio_mean,Nivel_Servicio_std,Nivel_Servicio_min,Nivel_Servicio_p05,Nivel_Servicio_p95,Fill_Rate_Unidades_mean,Ventas_Perdidas_mean,Ventas_Perdidas_max,Unidades_Perdidas_mean,Prob_Ruptura,Costo_Total_mean,Costo_Total_std,Costo_Total_p50,Costo_Total_p95,Costo_Total_CVaR95,Inventario_Promedio_mean,Ordenes_Proveedor_mean,Unidades_Vendidas_mean,Total_Solicitudes_mean
SCN-0193,Media demanda / Rapido proveedor / Ajustada,12000,4200,1200,2640,0.9,120,1.0,120,0.35,0.1,0.22,133.3333,31.5,9.0,19.8,8.0,Bajo,3,100.0,0.0,100.0,100.0,100.0,100.0,0.0,0,0.0,0.0,50483.388,2241.487,51710.221,51830.3111,51843.6545,2471.2994,6.0,17555.3333,146.6667
SCN-0135,Alta demanda / Lento proveedor / Ajustada,12000,2160,1200,2640,0.9,220,3.0,120,0.18,0.1,0.22,244.4444,8.8364,4.9091,10.8,1.9091,Bajo,3,97.5767,2.4661,95.07,95.329,99.766,97.5579,3.3333,7,729.3333,66.6667,50508.4042,6046.0066,51318.1715,55629.6638,56108.7185,1815.2076,10.3333,27470.3333,129.3333
SCN-0105,Baja demanda / Rapido proveedor / Ajustada,8000,2800,1760,1760,1.8,120,1.0,120,0.35,0.22,0.22,66.6667,42.0,26.4,26.4,25.4,Bajo,3,100.0,0.0,100.0,100.0,100.0,100.0,0.0,0,0.0,0.0,50611.5575,1273.7558,51151.784,51488.7296,51526.168,2589.531,4.0,7314.6667,62.0
SCN-0021,Alta demanda / Rapido proveedor / Ajustada,8000,1440,800,3600,0.9,220,1.0,120,0.18,0.1,0.45,244.4444,5.8909,3.2727,14.7273,2.2727,Bajo,3,100.0,0.0,100.0,100.0,100.0,100.0,0.0,0,0.0,0.0,50655.0183,1319.7221,50801.4905,51786.0036,51895.394,2351.2047,8.3333,29349.6667,133.6667
SCN-0197,Alta demanda / Rapido proveedor / Ajustada,12000,4200,1200,2640,0.9,220,1.0,120,0.35,0.1,0.22,244.4444,17.1818,4.9091,10.8,3.9091,Bajo,3,100.0,0.0,100.0,100.0,100.0,100.0,0.0,0,0.0,0.0,51155.235,2060.8083,50948.6905,53075.2533,53311.538,2286.4019,10.0,27471.3333,126.3333
SCN-0205,Media demanda / Rapido proveedor / Ajustada,12000,4200,1200,2640,1.8,220,1.0,120,0.35,0.1,0.22,122.2222,34.3636,9.8182,21.6,8.8182,Bajo,3,100.0,0.0,100.0,100.0,100.0,100.0,0.0,0,0.0,0.0,51262.7865,1289.1895,50961.386,52504.5166,52675.9755,2570.1548,5.0,14170.0,64.6667
SCN-0039,Alta demanda / Lento proveedor / Ajustada,8000,1440,1760,1760,0.9,220,3.0,120,0.18,0.22,0.22,244.4444,5.8909,7.2,7.2,4.2,Bajo,3,99.5567,0.7679,98.67,98.803,100.0,99.5054,0.6667,2,164.3333,33.3333,52138.6628,3312.6669,50502.7335,55406.2179,55951.0495,1842.0738,17.3333,29895.6667,137.3333
SCN-0133,Alta demanda / Rapido proveedor / Ajustada,12000,2160,1200,2640,0.9,220,1.0,120,0.18,0.1,0.22,244.4444,8.8364,4.9091,10.8,3.9091,Bajo,3,100.0,0.0,100.0,100.0,100.0,100.0,0.0,0,0.0,0.0,52302.0692,2046.0838,53004.3995,53814.4832,53904.4925,2313.0779,10.6667,28179.6667,128.6667
SCN-0103,Alta demanda / Lento proveedor / Ajustada,8000,2800,1760,1760,0.9,220,3.0,120,0.35,0.22,0.22,244.4444,11.4545,7.2,7.2,4.2,Bajo,3,99.76,0.4157,99.28,99.352,100.0,99.7262,0.3333,1,83.6667,33.3333,52739.8862,1974.5927,52967.354,54428.54,54590.894,1957.6233,16.6667,29446.0,135.3333
SCN-0109,Media demanda / Rapido proveedor / Ajustada,8000,2800,1760,1760,1.8,220,1.0,120,0.35,0.22,0.22,122.2222,22.9091,14.4,14.4,13.4,Bajo,3,100.0,0.0,100.0,100.0,100.0,100.0,0.0,0,0.0,0.0,53064.5907,2145.0809,53624.261,54749.3506,54874.3605,2522.1069,7.6667,13887.6667,62.6667
SCN-0097,Media demanda / Rapido proveedor / Ajustada,8000,2800,1760,1760,0.9,120,1.0,120,0.35,0.22,0.22,133.3333,21.0,13.2,13.2,12.2,Bajo,3,100.0,0.0,100.0,100.0,100.0,100.0,0.0,0,0.0,0.0,53256.8273,1299.265,53809.781,54150.31,54188.1465,2495.7497,8.3333,14635.0,124.0
SCN-0033,Media demanda / Rapido proveedor / Ajustada,8000,1440,1760,1760,0.9,120,1.0,120,0.18,0.22,0.22,133.3333,10.8,13.2,13.2,12.2,Bajo,3,100.0,0.0,100.0,100.0,100.0,100.0,0.0,0,0.0,0.0,53453.8093,277.5249,53415.3855,53715.2282,53748.544,2451.1376,9.3333,15654.0,131.6667
SCN-0045,Media demanda / Rapido proveedor / Ajustada,8000,1440,1760,1760,1.8,220,1.0,120,0.18,0.22,0.22,122.2222,11.7818,14.4,14.4,13.4,Bajo,3,100.0,0.0,100.0,100.0,100.0,100.0,0.0,0,0.0,0.0,54614.8672,808.7698,54659.8755,55326.1612,55400.193,2552.6778,8.6667,14335.0,64.6667
SCN-0055,Alta demanda / Lento proveedor / Conservadora,8000,1440,1760,3600,0.9,220,3.0,120,0.18,0.22,0.45,244.4444,5.8909,7.2,14.7273,4.2,Bajo,3,99.72,0.485,99.16,99.244,100.0,99.7287,0.3333,1,71.0,33.3333,58216.7875,875.4025,58282.51,58979.9798,59057.4765,2730.4882,8.3333,27828.6667,129.0
SCN-0101,Alta demanda / Rapido proveedor / Ajustada,8000,2800,1760,1760,0.9,220,1.0,120,0.35,0.22,0.22,244.4444,11.4545,7.2,7.2,6.2,Bajo,3,100.0,0.0,100.0,100.0,100.0,100.0,0.0,0,0.0,0.0,60600.5837,1564.744,59716.3655,62138.1701,62407.2595,2385.2176,17.6667,31509.3333,143.6667
SCN-0037,Alta demanda / Rapido proveedor / Ajustada,8000,1440,1760,1760,0.9,220,1.0,120,0.18,0.22,0.22,244.4444,5.8909,7.2,7.2,6.2,Bajo,3,100.0,0.0,100.0,100.0,100.0,100.0,0.0,0,0.0,0.0,60982.8282,1419.5912,60909.5115,62284.8424,62437.657,2406.4534,17.6667,29559.6667,137.3333
SCN-0119,Alta demanda / Lento proveedor / Conservadora,8000,2800,1760,3600,0.9,220,3.0,120,0.35,0.22,0.45,244.4444,11.4545,7.2,14.7273,4.2,Bajo,3,99.3367,1.1489,98.01,98.209,100.0,99.3317,1.0,3,216.3333,33.3333,61327.5007,3110.3824,60457.655,64347.95,64780.205,2838.713,8.0,28370.6667,131.3333
